NORM_MEAN_WEIGHT_2,NORM_MEDIAN_WEIGHT_2,NORM_STD_WEIGHT_2,NORM_MEAN_PROFIT_2,NORM_MEDIAN_PROFIT_2,NORM_STD_PROFIT_2,NORM_CORRELATION_2,NORM_MEAN_WEIGHT_1,NORM_MEDIAN_WEIGHT_1,NORM_STD_WEIGHT_1,NORM_MEAN_PROFIT_1,NORM_MEDIAN_PROFIT_1,NORM_STD_PROFIT_1,NORM_CORRELATION_1,NORM_MEAN_WEIGHT_0,NORM_MEDIAN_WEIGHT_0,NORM_STD_WEIGHT_0,NORM_MEAN_PROFIT_0,NORM_MEDIAN_PROFIT_0,NORM_STD_PROFIT_0,NORM_CORRELATION_0,NextHeuristic,ID
,,,,,,,,,,,,,,0.6,0.75,0.3219811718097815,0.526171875,0.5390625,0.3108479279747122,0.5049761305542106,default,1
,,,,,,,0.6,0.75,0.3219811718097815,0.526171875,0.5390625,0.3108479279747122,0.5049761305542106,0.6151315789473685,0.75,0.32334037150482053,0.514391447368421,0.484375,0.3145416770940778,0.5226817436913052,max_ratio,1
0.6,0.75,0.3219811718097815,0.526171875,0.5390625,0.3108479279747122,0.5049761305542106,0.6151315789473685,0.75,0.32334037150482053,0.514391447368421,0.484375,0.3145416770940778,0.5226817436913052,0.6423611111111112,0.78125,0.3102737055835431,0.5160590277777778,0.53125,0.32307909454718636,0.5199875493760241,max_ratio,1
0.6151315789473685,0.75,0.32334037150482053,0.514391447368421,0.484375,0.3145416770940778,0.5226817436913052,0.6423611111111112,0.78125,0.3102737055835431,0.5160590277777778,0.53125,0.32307909454718636,0.5199875493760241,0.6691176470588235,0.8125,0.29840623364269153,0.5078125,0.46875,0.3305994756910632,0.5416339016629443,max_ratio,1
0.6423611111111112,0.78125,0.3102737055835431,0.5160590277777778,0.53125,0.32307909454718636,0.5199875493760241,0.6691176470588235,0.8125,0.29840623364269153,0.5078125,0.46875,0.3305994756910632,0.5416339016629443,0.6953125,0.8125,0.28800482173698067,0.49755859375,0.4375,0.3381413758661188,0.5682550502414342,min_weight,1
0.6691176470588235,0.8125,0.29840623364269153,0.5078125,0.46875,0.3305994756910632,0.5416339016629443,0.6953125,0.8125,0.28800482173698067,0.49755859375,0.4375,0.3381413758661188,0.5682550502414342,0.7333333333333333,0.8125,0.2556310275029661,0.5145833333333333,0.46875,0.34252702270729274,0.5218350923313061,max_ratio,1
0.6953125,0.8125,0.28800482173698067,0.49755859375,0.4375,0.3381413758661188,0.5682550502414342,0.7333333333333333,0.8125,0.2556310275029661,0.5145833333333333,0.46875,0.34252702270729274,0.5218350923313061,0.7633928571428571,0.84375,0.2376157746816297,0.4966517857142857,0.4375,0.3476808815225184,0.5737287313000621,min_ratio,1
0.7333333333333333,0.8125,0.2556310275029661,0.5145833333333333,0.46875,0.34252702270729274,0.5218350923313061,0.7633928571428571,0.84375,0.2376157746816297,0.4966517857142857,0.4375,0.3476808815225184,0.5737287313000621,0.7633928571428571,0.84375,0.2376157746816297,0.4966517857142857,0.4375,0.3476808815225184,0.5737287313000621,max_weight,1
0.7633928571428571,0.84375,0.2376157746816297,0.4966517857142857,0.4375,0.3476808815225184,0.5737287313000621,0.7633928571428571,0.84375,0.2376157746816297,0.4966517857142857,0.4375,0.3476808815225184,0.5737287313000621,0.7633928571428571,0.84375,0.2376157746816297,0.4966517857142857,0.4375,0.3476808815225184,0.5737287313000621,default,1
0.7633928571428571,0.84375,0.2376157746816297,0.4966517857142857,0.4375,0.3476808815225184,0.5737287313000621,0.7633928571428571,0.84375,0.2376157746816297,0.4966517857142857,0.4375,0.3476808815225184,0.5737287313000621,0.7596153846153846,0.875,0.24618013681715592,0.4639423076923077,0.40625,0.3394140113057151,0.5681533475358722,min_weight,1
0.7633928571428571,0.84375,0.2376157746816297,0.4966517857142857,0.4375,0.3476808815225184,0.5737287313000621,0.7596153846153846,0.875,0.24618013681715592,0.4639423076923077,0.40625,0.3394140113057151,0.5681533475358722,0.8072916666666666,0.875,0.19001496194744477,0.4752604166666667,0.4375,0.3509084386465621,0.5399204658898249,max_weight,1
0.7596153846153846,0.875,0.24618013681715592,0.4639423076923077,0.40625,0.3394140113057151,0.5681533475358722,0.8072916666666666,0.875,0.19001496194744477,0.4752604166666667,0.4375,0.3509084386465621,0.5399204658898249,0.8072916666666666,0.875,0.19001496194744477,0.4752604166666667,0.4375,0.3509084386465621,0.5399204658898249,max_ratio,1
0.8072916666666666,0.875,0.19001496194744477,0.4752604166666667,0.4375,0.3509084386465621,0.5399204658898249,0.8072916666666666,0.875,0.19001496194744477,0.4752604166666667,0.4375,0.3509084386465621,0.5399204658898249,0.8579545454545454,0.875,0.0926676501721596,0.4872159090909091,0.46875,0.3641644890927986,0.47835600087301305,default,1
0.8072916666666666,0.875,0.19001496194744477,0.4752604166666667,0.4375,0.3509084386465621,0.5399204658898249,0.8579545454545454,0.875,0.0926676501721596,0.4872159090909091,0.46875,0.3641644890927986,0.47835600087301305,0.8579545454545454,0.875,0.0926676501721596,0.4872159090909091,0.46875,0.3641644890927986,0.47835600087301305,max_value,1
0.8579545454545454,0.875,0.0926676501721596,0.4872159090909091,0.46875,0.3641644890927986,0.47835600087301305,0.8579545454545454,0.875,0.0926676501721596,0.4872159090909091,0.46875,0.3641644890927986,0.47835600087301305,0.8579545454545454,0.875,0.0926676501721596,0.4872159090909091,0.46875,0.3641644890927986,0.47835600087301305,max_ratio,1
,,,,,,,,,,,,,,0.6,0.75,0.3219811718097815,0.526171875,0.5390625,0.3108479279747122,0.5049761305542106,default,2
,,,,,,,0.6,0.75,0.3219811718097815,0.526171875,0.5390625,0.3108479279747122,0.5049761305542106,0.6151315789473685,0.75,0.32334037150482053,0.514391447368421,0.484375,0.3145416770940778,0.5226817436913052,max_ratio,2
0.6,0.75,0.3219811718097815,0.526171875,0.5390625,0.3108479279747122,0.5049761305542106,0.6151315789473685,0.75,0.32334037150482053,0.514391447368421,0.484375,0.3145416770940778,0.5226817436913052,0.6423611111111112,0.78125,0.3102737055835431,0.5160590277777778,0.53125,0.32307909454718636,0.5199875493760241,max_ratio,2
0.6151315789473685,0.75,0.32334037150482053,0.514391447368421,0.484375,0.3145416770940778,0.5226817436913052,0.6423611111111112,0.78125,0.3102737055835431,0.5160590277777778,0.53125,0.32307909454718636,0.5199875493760241,0.6691176470588235,0.8125,0.29840623364269153,0.5078125,0.46875,0.3305994756910632,0.5416339016629443,max_ratio,2
